year,month,post_count,likes_count,comments_count,reposts_count,monthly_growth_pct,computed_at
2025,August,1,2,0,0,-66.66666666666666,2026-06-26T06:17:45.050396
2025,August,1,2,0,0,-66.66666666666666,2026-06-26T06:34:11.853495
2025,December,2,12,0,0,9.090909090909092,2026-06-26T06:17:45.050396
2025,December,2,12,0,0,9.090909090909092,2026-06-26T06:34:11.853495
2025,July,6,6,0,0,0.0,2026-06-26T06:17:45.050396
2025,July,6,6,0,0,0.0,2026-06-26T06:34:11.853495
2025,October,3,11,0,0,-8.333333333333332,2026-06-26T06:17:45.050396
2025,October,3,11,0,0,-8.333333333333332,2026-06-26T06:34:11.853495
2025,September,2,10,2,0,500.0,2026-06-26T06:17:45.050396
2025,September,2,10,2,0,500.0,2026-06-26T06:34:11.853495
2026,April,3,36,1,0,311.11111111111114,2026-06-26T06:17:45.050396
2026,April,3,36,1,0,311.11111111111114,2026-06-26T06:34:11.853495
2026,January,1,6,0,0,-50.0,2026-06-26T06:17:45.050396
2026,January,1,6,0,0,-50.0,2026-06-26T06:34:11.853495
2026,June,18,80,3,0,0.0,2026-06-25T19:24:48.118946
2026,June,18,80,3,0,0.0,2026-06-26T05:35:09.923004
2026,June,18,80,3,0,0.0,2026-06-26T05:43:18.905365
2026,June,18,80,3,0,0.0,2026-06-26T05:51:54.339935
2026,June,21,113,4,0,0.0,2026-06-26T06:04:46.034180
2026,June,21,114,4,0,0.0,2026-06-26T06:12:40.185890
2026,June,2,9,0,0,-43.75,2026-06-26T06:17:45.050396
2026,June,2,9,0,0,-43.75,2026-06-26T06:34:11.853495
2026,March,1,9,0,0,50.0,2026-06-26T06:17:45.050396
2026,March,1,9,0,0,50.0,2026-06-26T06:34:11.853495
2026,May,2,15,1,0,-56.75675675675676,2026-06-26T06:17:45.050396
2026,May,2,15,1,0,-56.75675675675676,2026-06-26T06:34:11.853495
