linkedin_post_id,post_text,media_type,likes,comments,reposts,engagement_rate,post_url
7450587370871001088,"Learning about AI has always felt exciting to me because it is shaping the future in so many ways.
I’m happy to share that I am now a Gemini Certified Student through Google for Education. This certification is special to me because it represents more than completing a program — it reflects my growing curiosity about how AI can be used meaningfully in learning and problem-solving.
Through this journey, I gained a better understanding of how Google AI tools can support education and make learning more interactive and effective. It also made me realize that adapting to new technology is not just important, but necessary.
What I appreciate most is how every new skill adds confidence. Even small milestones like this remind me that consistent learning creates bigger opportunities over time.
This is one more step in my journey of exploring technology, analytics, and innovation, and I’m excited to keep learning what comes next.",Image,15,0,0,5.1194539249146755,https://www.linkedin.com/feed/update/urn:li:activity:7450587370871001088
7453550277296791552,"I recently completed a Database Management System (DBMS) project focused on SQL, PL/SQL, and MySQL CLI operations.
This project helped me move beyond theory and understand how databases function in real scenarios. From creating structures to managing transactions, it gave me a clear view of the complete data lifecycle.
Key highlights from my work:
Designed tables using DDL commands like CREATE and ALTER
Performed data operations using INSERT and SELECT
Implemented PL/SQL functions for logical processing
Managed transactions using COMMIT and ROLLBACK
Debugged errors and improved query efficiency
One important learning for me was that writing queries is not enough. Understanding the logic behind data handling and fixing mistakes step by step made a big difference.",Image,12,0,0,4.09556313993174,https://www.linkedin.com/feed/update/urn:li:activity:7453550277296791552
7458033244232421376,"Excited to share that our team — Mohith Hariharan, Manoj, and Saravanakumar — participated in the CyberGeek’26 Capture The Flag (CTF) Competition organized by GeekHaven under Aparoksha at IIIT Allahabad among 300+ participants.
This experience was more than just a competition. It pushed us to think critically, solve problems under pressure, and explore real-world cybersecurity concepts through practical challenges.
Working as a team taught us the importance of collaboration, patience, and analytical thinking. Every challenge gave us a new perspective and motivated us to keep learning and improving our technical skills.
Grateful for the experience and looking forward to participating in more cybersecurity and tech events ahead 🚀

hashtag
#CyberSecurity 
hashtag
#CTF 
hashtag
#CyberGeek26 
hashtag
#TeamWork 
hashtag
#LearningJourney 
hashtag
#ProblemSolving",Image,10,1,0,3.754266211604096,https://www.linkedin.com/feed/update/urn:li:activity:7458033244232421376
7449127068509831169,"Sometimes the most valuable learning comes from the skills we usually overlook.
I recently completed three modules from Wadhwani Foundation — Success at Work, Effective Speaking and Listening Skills – Advanced, and Self Management – Advanced — and they gave me a different perspective on personal growth.
These courses made me reflect on how much communication, discipline, and self-awareness shape our everyday progress. Technical knowledge can open doors, but the ability to manage yourself and connect well with others is what helps you grow through them.
What made this experience meaningful was how practical it felt. Every lesson connected to real situations I face as a student, and it reminded me that improving small habits can create long-term change.
This journey taught me that success is not only about achieving goals, but also about becoming better prepared for them.
Grateful for this learning experience and excited to keep building both professional and personal skills.",Image,9,1,0,3.4129692832764507,https://www.linkedin.com/feed/update/urn:li:activity:7449127068509831169
7442229103061164032,"I’m glad to share that I’ve completed the Exploratory Data Analysis course through FutureSkills Prime (NASSCOM).
This course helped me understand how important it is to explore data before making any conclusions. I learned how to look at data from different angles, identify patterns, and ask the right questions instead of jumping directly to answers.
At first, it felt simple, but as I went deeper, I realized how much thinking and observation goes into proper analysis. It improved the way I approach data and made me more careful and curious while working with it.
This experience added another small but meaningful step in my journey toward data analytics. I’m looking forward to applying these learnings in real projects and continuing to improve step by step.
Grateful for the opportunity to learn and grow.",Image,9,0,0,3.0716723549488054,https://www.linkedin.com/feed/update/urn:li:activity:7442229103061164032
7372893773237862400,"I recently had the opportunity to deliver a presentation in the Verbal & Communication class conducted by QSpiders. This session helped me improve my public speaking, confidence, and clarity of communication – skills that are very important for personal and professional growth.
I’m grateful to the trainers at QSpiders for creating such an engaging environment where we can practice and learn continuously. Looking forward to more such opportunities to enhance my communication and presentation skills. 🚀

hashtag
#QSpiders 
hashtag
#CommunicationSkills 
hashtag
#Presentation 
hashtag
#LearningJourney 
hashtag
#PlacementPreparation",Image,6,2,0,2.7303754266211606,https://www.linkedin.com/feed/update/urn:li:activity:7372893773237862400
7413630967514378240,"I’m happy to share that I’ve completed my 1-month Data Analytics Internship at Codec Technologies.
During the internship, I worked on a Sales Analysis project using Pavan Lalwani Sales Report.xlsx, focusing on sales trends, performance analysis, and business insights. I handled most of the data analysis independently, using online resources and AI tools only for clarification.
📌 Project:
https://lnkd.in/gURW-9f7
Grateful for the learning opportunity and excited to work on more real-world projects 🚀

hashtag
#DataAnalytics 
hashtag
#Internship 
hashtag
#Excel 
hashtag
#GitHub 
hashtag
#Learning",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7413630967514378240
7403127793921978368,"I’m happy to share that I’ve started my Data Analytics Internship at CODTECH IT Solutions Pvt. Ltd. 🎉
 This 4-week online internship (Dec 4, 2025 – Jan 4, 2026) is a great opportunity to build my skills, work on real projects, and grow professionally.
Excited for this learning journey!

hashtag
#Internship 
hashtag
#DataAnalytics 
hashtag
#CODTECH 
hashtag
#CareerGrowth",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7403127793921978368
7401296631276519424,"Yesterday I decided to challenge myself by completing a full end-to-end Amazon Sales Analysis project using a Kaggle dataset.
I wrote most of the code on my own—cleaning the data, converting dates, creating visualizations and exploring insights. Some errors took time to figure out, and I used AI only to debug when I got stuck.
It wasn’t just about finishing a project.
 It was about learning, thinking, and solving step by step.
Proud to say I completed the entire project independently and it helped me grow my Python + Data Analytics skills.
Excited for more datasets and more learning ahead!",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7401296631276519424
7382041817103564800,"I’ve successfully participated in the Online Quiz on Viksit Bharat Young Leaders Dialogue (VBYLD) 2026, organized by the Ministry of Youth Affairs & Sports, Government of India, through MYBharat. 🇮🇳

This initiative inspired me to contribute toward building a Viksit Bharat by 2047 — a vision of progress, leadership, and innovation.

Grateful for this opportunity to be part of India’s youth-driven transformation journey. ✨


hashtag
#ViksitBharat 
hashtag
#MYBharat 
hashtag
#YoungLeaders 
hashtag
#MinistryOfYouthAffairs 
hashtag
#Leadership 
hashtag
#NationalDevelopment 
hashtag
#India2047",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7382041817103564800
